transcript_id	chromosome	start	end	splice_junction_number	strand_values	read_names_values	read_names_count_values
1	chr17	7676623	7687376	1	-	m64012_104905_566269/1/ccs	1
1	chr17	7676404	7676520	2	-	m64012_104905_566269/1/ccs	1
1	chr17	7676273	7676381	3	-	m64012_104905_566269/1/ccs	1
1	chr17	7675237	7675993	4	-	m64012_104905_566269/1/ccs	1
1	chr17	7674972	7675052	5	-	m64012_104905_566269/1/ccs	1
1	chr17	7674291	7674858	6	-	m64012_104905_566269/1/ccs	1
1	chr17	7673838	7674180	7	-	m64012_104905_566269/1/ccs	1
1	chr17	7673609	7673700	8	-	m64012_104905_566269/1/ccs	1
1	chr17	7670716	7673534	9	-	m64012_104905_566269/1/ccs	1
1	chr17	7669691	7670608	10	-	m64012_104905_566269/1/ccs	1
2	chr17	7676623	7687376	1	-	m64012_507476_774164/1/ccs	1
2	chr17	7676404	7676520	2	-	m64012_507476_774164/1/ccs	1
2	chr17	7676273	7676381	3	-	m64012_507476_774164/1/ccs	1
2	chr17	7675237	7675993	4	-	m64012_507476_774164/1/ccs	1
2	chr17	7674972	7675052	5	-	m64012_507476_774164/1/ccs	1
2	chr17	7674291	7674858	6	-	m64012_507476_774164/1/ccs	1
2	chr17	7673838	7674180	7	-	m64012_507476_774164/1/ccs	1
2	chr17	7673609	7673700	8	-	m64012_507476_774164/1/ccs	1
2	chr17	7670716	7673534	9	-	m64012_507476_774164/1/ccs	1
2	chr17	7669691	7670608	10	-	m64012_507476_774164/1/ccs	1
